Time,Heart Rate
20:44:12,70
20:44:26,70
20:44:36,75
20:44:41,110
20:44:46,109
20:44:51,101
20:44:56,96
20:45:01,92
20:45:06,89
20:45:11,87
20:45:16,86
20:45:21,85
20:45:26,84
20:45:31,83
20:45:36,80
20:45:41,79
20:45:46,77
20:45:51,76
20:45:56,77
20:46:11,76
20:46:16,75
20:46:31,75
20:46:36,76
20:46:41,76
20:46:46,78
20:47:01,78
20:47:06,74
20:47:11,72
20:47:21,71
20:47:31,70
20:47:36,66
20:47:51,67
20:48:06,69
20:48:11,70
20:48:16,71
20:48:21,73
20:48:36,74
20:48:41,75
20:48:46,77
20:48:51,76
20:48:56,77
20:49:01,78
20:49:06,77
20:49:21,77
20:49:26,78
20:49:41,78
20:49:56,78
20:50:11,80
20:50:16,81
20:50:21,82
20:50:28,82
20:50:33,81
20:50:48,82
20:51:03,82
20:51:13,82
20:51:18,84
20:51:28,83
20:51:38,80
20:51:43,78
20:51:48,80
20:51:58,81
20:52:03,85
20:52:13,85
20:52:28,85
20:52:33,84
20:52:43,82
20:52:58,82
20:53:13,82
20:53:18,81
20:53:23,82
20:53:28,81
20:53:33,82
20:53:38,83
20:53:43,84
20:53:48,83
20:53:58,84
20:54:05,83
20:54:10,84
20:54:25,85
20:54:40,85
20:54:45,84
20:54:55,83
20:55:00,84
20:55:10,85
20:55:15,84
20:55:30,84
20:55:35,85
20:55:45,84
20:55:55,83
20:56:00,82
20:56:10,83
20:56:15,84
20:56:30,84
20:56:35,83
20:56:45,82
20:56:50,84
20:56:55,86
20:57:00,87
20:57:05,88
20:57:15,89
20:57:20,90
20:57:35,89
20:57:40,90
20:57:45,92
20:57:55,91
20:58:00,89
20:58:05,86
20:58:10,85
20:58:20,86
20:58:35,86
20:58:40,85
20:58:50,84
20:58:55,83
20:59:05,85
20:59:15,87
20:59:20,88
20:59:35,88
20:59:40,86
20:59:45,84
20:59:50,83
21:00:00,85
21:00:05,86
21:00:10,85
21:00:15,84
21:00:20,82
21:00:30,81
21:00:35,80
21:00:50,82
21:00:55,83
21:01:00,84
21:01:05,85
21:01:10,87
21:01:15,89
21:01:25,87
21:01:35,86
21:01:40,85
21:01:45,84
21:01:50,83
21:02:00,84
21:02:05,85
21:02:10,86
21:02:25,86
21:02:35,86
21:02:45,87
21:03:00,87
21:03:10,87
21:03:25,87
21:03:30,90
21:03:35,89
21:03:40,89
21:03:55,89
21:04:00,87
21:04:05,86
21:04:10,87
21:04:16,87
21:04:21,89
21:04:26,90
21:04:31,91
21:04:41,90
21:04:46,89
21:04:51,88
21:05:01,87
21:05:06,86
21:05:11,85
21:05:21,84
21:05:26,82
21:05:36,83
21:05:41,84
21:05:51,85
21:06:06,85
21:06:16,86
21:06:21,87
21:06:26,88
21:06:41,88
21:06:56,88
21:07:06,90
21:07:11,91
21:07:21,91
21:07:26,91
21:07:31,90
21:07:41,88
21:07:46,86
21:08:01,87
21:08:16,88
21:08:26,89
21:08:31,90
21:08:41,89
21:08:46,91
21:08:56,90
21:09:01,88
21:09:16,86
21:09:21,84
21:09:26,83
21:09:31,84
21:09:36,85
21:09:46,86
21:10:01,87
21:10:06,88
21:10:11,95
21:10:16,96
21:10:21,94
21:10:36,94
21:10:41,93
21:10:46,91
21:10:51,77
21:10:56,67
21:11:01,68
21:11:06,67
21:11:21,67
21:11:36,64
21:11:41,64
21:11:56,62
21:12:01,63
21:12:06,62
21:12:21,62
21:12:26,63
21:12:31,64
21:12:41,63
21:12:46,62
21:13:01,63
21:13:06,64
21:13:11,65
21:13:16,64
21:13:26,64
21:13:36,65
21:13:46,66
21:13:51,67
21:13:56,68
21:14:01,69
21:14:11,70
21:14:21,71
21:14:36,71
21:14:41,69
21:14:46,66
21:14:56,65
21:15:01,65
21:15:06,66
21:15:11,65
21:15:26,67
21:15:31,69
21:15:36,71
21:15:41,72
21:15:46,67
21:15:51,64
21:16:01,68
21:16:06,70
21:16:21,70
21:16:36,70
21:16:51,70
21:16:56,71
21:17:01,72
21:17:06,74
21:17:11,75
21:17:16,72
21:17:21,72
21:17:36,72
21:17:46,72
21:17:51,71
21:17:56,70
21:18:06,68
21:18:11,67
21:18:16,70
21:18:21,72
21:18:26,70
21:18:31,69
21:18:41,71
21:18:46,74
21:18:56,72
21:19:06,71
21:19:21,71
21:19:26,72
21:19:31,71
21:19:36,72
21:19:41,73
21:19:46,75
21:19:51,76
21:20:01,78
21:20:06,79
21:20:11,80
21:20:16,79
21:20:21,77
21:20:26,73
21:20:31,71
21:20:36,72
21:20:41,74
21:20:46,75
21:20:51,74
21:20:57,72
21:21:02,70
21:21:12,69
21:21:17,67
21:21:22,68
21:21:37,69
21:21:42,70
21:21:47,69
21:21:52,68
21:21:57,68
21:22:12,69
21:22:22,70
21:22:27,70
21:22:32,68
21:22:37,66
21:22:42,65
21:22:52,68
21:22:57,69
21:23:02,70
21:23:07,67
21:23:12,67
21:23:17,69
21:23:22,70
21:23:27,71
21:23:32,72
21:23:42,70
21:23:52,71
21:23:57,70
21:24:02,67
21:24:07,65
21:24:12,67
21:24:17,68
21:24:32,68
21:24:37,67
21:24:42,69
21:24:52,67
21:24:57,65
21:25:02,66
21:25:07,67
21:25:17,70
21:25:27,69
21:25:32,68
21:25:37,67
21:25:42,66
21:25:47,67
21:25:52,68
21:25:57,71
21:26:02,70
21:26:07,69
21:26:12,70
21:26:27,69
21:26:32,67
21:26:37,67
21:26:47,68
21:26:52,71
21:26:57,72
21:27:02,73
21:27:17,73
21:27:32,73
21:27:37,72
21:27:52,70
21:28:02,69
21:28:07,70
21:28:17,72
21:28:22,74
21:28:32,73
21:28:42,73
21:28:47,72
21:28:57,71
21:29:12,71
21:29:17,70
21:29:22,69
21:29:27,65
21:29:42,65
21:29:52,68
21:29:57,72
21:30:02,70
21:30:17,71
21:30:32,72
21:30:47,72
21:31:02,73
21:31:07,73
21:31:22,74
21:31:27,73
21:31:32,72
21:31:47,72
21:31:52,69
21:31:57,67
21:32:02,66
21:32:12,66
21:32:17,67
21:32:22,69
21:32:27,68
21:32:32,66
21:32:47,69
21:32:52,72
21:33:02,70
21:33:07,67
21:33:12,69
21:33:17,71
21:33:22,70
21:33:27,68
21:33:32,69
21:33:42,70
21:33:47,72
21:33:52,70
21:33:57,69
21:34:12,70
21:34:17,71
21:34:27,72
21:34:37,80
21:34:42,82
21:34:57,83
21:35:02,87
21:35:12,85
21:35:17,84
21:35:22,75
21:35:27,73
21:35:32,71
21:35:37,70
21:35:47,69
21:35:52,71
21:35:57,72
21:36:07,73
21:36:12,74
21:36:17,75
21:36:22,80
21:36:27,81
21:36:32,79
21:36:37,73
21:36:42,71
21:36:47,70
21:37:02,70
21:37:03,71
21:37:13,72
21:37:23,71
21:37:28,70
21:37:38,69
21:37:43,69
21:37:48,70
21:38:03,71
21:38:18,72
21:38:23,73
21:38:28,75
21:38:43,74
21:38:48,73
21:39:03,74
21:39:08,71
21:39:18,70
21:39:33,70
21:39:43,72
21:39:48,73
21:40:03,73
21:40:13,72
21:40:28,72
21:40:33,71
21:40:38,70
21:40:43,71
21:40:48,72
21:40:53,73
21:40:58,74
21:41:08,73
21:41:13,72
21:41:18,72
21:41:23,73
21:41:28,74
21:41:38,75
21:41:53,75
21:42:03,75
21:42:13,74
21:42:23,73
21:42:38,70
21:42:43,69
21:42:53,68
21:42:58,67
21:43:03,69
21:43:08,72
21:43:18,71
21:43:33,70
21:43:43,71
21:43:48,73
21:43:53,74
21:43:58,75
21:44:13,76
21:44:18,78
21:44:23,81
21:44:28,79
21:44:33,77
21:44:38,78
21:44:48,76
21:44:53,75
21:45:03,73
21:45:18,73
21:45:23,74
21:45:33,72
21:45:38,69
21:45:43,67
21:45:53,69
21:45:58,70
21:46:03,71
21:46:08,72
21:46:13,71
21:46:28,69
21:46:33,67
21:46:38,65
21:46:43,66
21:46:48,67
21:46:53,67
21:46:58,70
21:47:08,71
21:47:13,73
21:47:18,77
21:47:23,78
21:47:33,79
21:47:38,79
21:47:48,80
21:47:53,80
21:47:58,81
21:48:03,84
21:48:08,83
21:48:13,82
21:48:18,81
21:48:33,80
21:48:38,79
21:48:43,77
21:48:53,76
21:48:58,75
21:49:13,74
21:49:18,76
21:49:23,77
21:49:33,75
21:49:38,74
21:49:43,75
21:49:58,75
21:50:03,76
21:50:08,75
21:50:13,75
21:50:18,76
21:50:23,75
21:50:28,71
21:50:38,72
21:50:43,73
21:50:48,71
21:50:53,70
21:51:03,71
21:51:08,72
21:51:13,73
21:51:28,73
21:51:38,74
21:51:53,74
21:52:03,74
21:52:13,74
21:52:18,74
21:52:23,76
21:52:33,77
21:52:48,77
21:53:03,77
21:53:18,76
21:53:23,78
21:53:28,76
21:53:38,78
21:53:43,79
21:53:58,79
21:54:03,78
21:54:18,78
21:54:23,74
21:54:32,74
21:54:47,74
21:55:02,76
21:55:12,77
21:55:22,78
21:55:27,78
21:55:37,79
21:55:42,81
21:55:47,81
21:55:52,81
21:55:57,82
21:56:02,84
21:56:07,82
21:56:12,79
21:56:17,77
21:56:27,78
21:56:37,79
21:56:47,78
21:56:52,79
21:56:57,81
21:57:02,80
21:57:07,79
21:57:17,78
21:57:27,79
21:57:32,80
21:57:37,83
21:57:42,79
21:57:47,78
21:57:52,79
21:57:57,82
21:58:02,86
21:58:07,87
21:58:12,86
21:58:17,85
21:58:22,86
21:58:32,88
21:58:47,84
21:58:52,81
21:59:02,82
21:59:07,83
21:59:12,83
21:59:17,82
21:59:22,78
21:59:27,74
21:59:32,73
21:59:42,74
21:59:52,77
21:59:57,77
22:00:12,77
22:00:17,75
22:00:32,75
22:00:47,75
22:01:02,77
22:01:07,76
22:01:12,77
22:01:17,82
22:01:27,81
22:01:42,81
22:01:57,82
22:02:02,81
22:02:07,76
22:02:12,74
22:02:22,73
22:02:27,72
22:02:32,72
22:02:37,73
22:02:47,74
22:02:57,73
22:03:07,74
22:03:12,75
22:03:17,76
22:03:27,78
22:03:32,77
22:03:37,76
22:03:42,75
22:03:47,75
22:04:02,76
22:04:17,76
22:04:27,75
22:04:32,76
22:04:37,77
22:04:42,80
22:04:47,82
22:04:52,81
22:04:57,79
22:05:02,76
22:05:07,74
22:05:22,75
22:05:37,75
22:05:42,76
22:05:57,73
22:06:02,74
22:06:07,75
22:06:22,76
22:06:27,79
22:06:32,80
22:06:42,79
22:06:57,79
22:07:12,85
22:07:17,86
22:07:22,84
22:07:32,85
22:07:37,84
22:07:42,80
22:07:47,76
22:07:52,75
22:07:57,74
22:08:02,73
22:08:07,73
22:08:12,74
22:08:17,75
22:08:22,77
22:08:27,78
22:08:37,78
22:08:42,79
22:08:57,78
22:09:02,76
22:09:07,73
22:09:12,71
22:09:17,70
22:09:27,69
22:09:32,72
22:09:42,73
22:09:47,75
22:09:52,76
22:09:57,77
22:10:07,76
22:10:12,75
22:10:17,75
22:10:32,75
22:10:37,78
22:10:42,77
22:10:47,77
22:10:52,75
22:10:58,74
22:11:03,76
22:11:13,77
22:11:18,78
22:11:28,80
22:11:43,80
22:11:48,79
22:11:58,81
22:12:03,82
22:12:13,83
22:12:18,82
22:12:23,80
22:12:28,76
22:12:33,75
22:12:43,76
22:12:53,80
22:12:58,81
22:13:08,79
22:13:13,75
22:13:18,69
22:13:23,67
22:13:28,68
22:13:43,68
22:13:48,69
22:13:53,71
22:13:58,77
22:14:03,78
22:14:08,78
22:14:23,78
22:14:33,76
22:14:38,75
22:14:43,76
22:14:48,77
22:14:53,78
22:14:58,79
22:15:03,80
22:15:18,81
22:15:23,82
22:15:28,81
22:15:33,78
22:15:38,77
22:15:43,76
22:15:53,77
22:15:58,78
22:16:03,79
22:16:08,80
22:16:13,81
22:16:28,81
22:16:33,82
22:16:38,81
22:16:43,80
22:16:53,79
22:16:58,77
22:17:03,76
22:17:08,77
22:17:13,80
22:17:23,79
22:17:28,79
22:17:38,79
22:17:43,78
22:17:58,78
22:18:13,78
22:18:18,77
22:18:23,75
22:18:38,75
22:18:43,79
22:18:53,77
22:18:58,78
22:19:03,79
22:19:18,74
22:19:23,68
22:19:28,69
22:19:38,69
22:19:53,70
22:19:58,72
22:20:03,75
22:20:08,76
22:20:13,76
22:20:18,77
22:20:23,78
22:20:28,77
22:20:33,76
22:20:43,75
22:20:53,76
22:20:58,77
22:21:13,76
22:21:28,75
22:21:33,76
22:21:38,76
22:21:53,73
22:21:58,72
22:22:03,74
22:22:18,74
22:22:28,74
22:22:33,75
22:22:38,76
22:22:48,78
22:22:53,77
22:22:58,76
22:23:03,75
22:23:08,74
22:23:13,69
22:23:18,72
22:23:28,73
22:23:33,72
22:23:38,73
22:23:48,74
22:23:53,74
22:23:58,75
22:24:08,76
22:24:13,76
22:24:18,75
22:24:23,75
22:24:33,74
22:24:48,73
22:24:53,75
22:24:58,76
22:25:03,76
22:25:08,76
22:25:13,77
22:25:18,79
22:25:23,79
22:25:33,75
22:25:38,73
22:25:48,72
22:25:53,71
22:26:03,72
22:26:18,71
22:26:28,71
22:26:43,74
22:26:48,73
22:27:03,71
22:27:08,70
22:27:13,71
22:27:18,72
22:27:23,78
22:27:28,79
22:27:33,81
22:27:38,80
22:27:53,80
22:27:58,80
22:28:03,79
22:28:08,78
22:28:13,77
22:28:18,77
22:28:28,78
22:28:38,81
22:28:43,82
22:28:48,81
22:28:53,80
22:28:58,78
22:29:08,79
22:29:23,79
22:29:28,72
22:29:33,74
22:29:38,75
22:29:43,74
22:29:48,73
22:29:53,74
22:29:58,74
22:30:04,74
22:30:09,75
22:30:19,75
22:30:29,76
22:30:34,77
22:30:39,78
22:30:49,75
22:30:54,73
22:31:04,73
22:31:09,74
22:31:14,75
22:31:29,73
22:31:34,74
22:31:39,73
22:31:49,72
22:31:59,73
22:32:04,72
22:32:09,72
22:32:24,74
22:32:29,77
22:32:34,77
22:32:44,78
22:32:59,78
22:33:09,79
22:33:14,81
22:33:29,77
22:33:34,76
22:33:39,76
22:33:49,75
22:33:54,72
22:34:09,73
22:34:14,74
22:34:19,76
22:34:24,87
22:34:29,85
22:34:34,82
22:34:39,82
22:34:44,82
22:34:54,80
22:35:09,80
22:35:19,79
22:35:34,80
22:35:39,83
22:35:44,84
22:35:49,83
22:35:54,83
22:35:59,82
22:36:04,80
22:36:14,77
22:36:19,76
22:36:24,77
22:36:34,79
22:36:39,81
22:36:44,81
22:36:54,80
22:36:59,77
22:37:04,76
22:37:09,75
22:37:24,73
22:37:29,71
22:37:44,72
22:37:49,73
22:37:54,74
22:37:59,75
22:38:09,80
22:38:14,82
22:38:19,80
22:38:24,78
22:38:29,77
22:38:34,78
22:38:39,77
22:38:44,75
22:38:49,74
22:39:04,74
22:39:09,75
22:39:14,76
22:39:19,75
22:39:24,75
22:39:29,74
22:39:44,75
22:39:49,76
22:39:54,77
22:39:59,76
22:40:14,79
22:40:19,80
22:40:34,80
22:40:39,81
22:40:44,84
22:40:49,83
22:40:54,75
22:41:09,76
22:41:14,77
22:41:29,77
22:41:34,78
22:41:39,81
22:41:44,82
22:41:49,81
22:41:54,75
22:41:59,76
22:42:14,75
22:42:19,76
22:42:29,79
22:42:34,76
22:42:39,76
22:42:54,77
22:42:59,84
22:43:04,83
22:43:09,80
22:43:14,79
22:43:24,79
22:43:29,78
22:43:34,77
22:43:49,78
22:43:54,75
22:43:59,74
22:44:14,74
22:44:19,78
22:44:24,80
22:44:34,82
22:44:39,83
22:44:44,82
22:44:49,79
22:44:59,78
22:45:14,78
22:45:19,78
22:45:34,78
22:45:44,76
22:45:49,75
22:45:54,76
22:46:09,76
22:46:24,76
22:46:30,76
22:46:45,75
22:46:55,76
22:47:00,86
22:47:05,88
22:47:10,87
22:47:25,88
22:47:30,86
22:47:35,71
22:47:40,67
22:47:45,66
22:47:50,68
22:47:55,70
22:48:00,72
22:48:05,72
22:48:15,73
22:48:25,74
22:48:30,72
22:48:35,68
22:48:40,67
22:48:45,69
22:48:50,71
22:48:55,72
22:49:05,74
22:49:15,73
22:49:20,74
22:49:30,73
22:49:35,71
22:49:40,70
22:49:55,70
22:50:05,73
22:50:10,75
22:50:20,72
22:50:25,70
22:50:30,68
22:50:40,68
22:50:50,68
22:50:55,69
22:51:05,68
22:51:15,68
22:51:20,69
22:51:25,70
22:51:30,71
22:51:35,73
22:51:40,74
22:51:45,75
22:52:00,74
22:52:15,75
22:52:20,76
22:52:30,75
22:52:45,75
22:52:50,74
22:52:55,73
22:53:10,72
22:53:15,71
22:53:30,71
22:53:35,74
22:53:40,74
22:53:55,74
22:54:00,71
22:54:05,70
22:54:10,71
22:54:15,72
22:54:20,73
22:54:25,74
22:54:30,75
22:54:45,73
22:54:55,74
22:55:00,75
22:55:05,76
22:55:10,78
22:55:20,76
22:55:30,75
22:55:40,77
22:55:45,77
22:56:00,78
22:56:15,77
22:56:20,71
22:56:25,73
22:56:30,73
22:56:35,72
22:56:40,70
22:56:55,70
22:57:05,72
22:57:10,75
22:57:25,75
22:57:30,74
22:57:35,72
22:57:40,73
22:57:50,73
22:57:55,73
22:58:10,74
22:58:15,75
22:58:30,74
22:58:35,75
22:58:40,77
22:58:55,76
22:59:10,75
22:59:15,73
22:59:20,73
22:59:35,72
22:59:50,72
22:59:55,74
23:00:00,75
23:00:15,75
23:00:25,72
23:00:30,68
23:00:35,67
23:00:45,67
23:00:50,68
23:00:55,67
23:01:05,68
23:01:10,69
23:01:20,70
23:01:30,76
23:01:35,77
23:01:40,74
23:01:45,74
23:01:55,75
23:02:00,73
23:02:05,72
23:02:10,67
23:02:15,66
23:02:20,67
23:02:25,69
23:02:30,71
23:02:40,72
23:02:45,71
23:02:55,76
23:03:00,76
23:03:15,76
23:03:25,75
23:03:30,74
23:03:36,73
23:03:51,73
23:04:06,74
23:04:11,73
23:04:21,75
23:04:26,76
23:04:31,77
23:04:46,75
23:04:51,74
23:05:01,73
23:05:16,72
23:05:31,71
23:05:36,70
23:05:41,69
23:05:46,68
23:05:51,69
23:05:56,70
23:06:01,71
23:06:06,72
23:06:11,72
23:06:26,72
23:06:31,71
23:06:46,71
23:06:51,70
23:06:56,71
23:07:01,72
23:07:06,71
23:07:11,71
23:07:16,72
23:07:26,72
23:07:31,72
23:07:46,73
23:08:01,73
23:08:06,72
23:08:11,71
23:08:21,69
23:08:31,68
23:08:41,72
23:08:46,73
23:09:01,72
23:09:11,71
23:09:16,69
23:09:21,66
23:09:26,67
23:09:31,66
23:09:46,67
23:09:51,68
23:09:56,70
23:10:01,72
23:10:06,74
23:10:11,75
23:10:21,76
23:10:31,75
23:10:41,74
23:10:46,74
23:10:51,73
23:10:56,72
23:11:01,71
23:11:11,72
23:11:21,73
23:11:31,72
23:11:36,70
23:11:41,67
23:11:46,66
23:12:01,67
23:12:06,68
23:12:11,67
23:12:16,66
23:12:21,65
23:12:31,66
23:12:36,67
23:12:41,68
23:12:51,67
23:13:01,66
23:13:06,65
23:13:11,64
23:13:26,64
23:13:31,65
23:13:36,66
23:13:41,65
23:13:46,66
23:13:51,66
23:14:06,67
23:14:11,66
23:14:26,65
23:14:31,66
23:14:36,68
23:14:51,68
23:15:01,69
23:15:16,69
23:15:26,71
23:15:31,73
23:15:36,72
23:15:41,71
23:15:46,70
23:15:51,65
23:16:01,64
23:16:11,64
23:16:21,65
23:16:26,66
23:16:36,65
23:16:41,64
23:16:46,65
23:16:51,66
23:16:56,67
23:17:01,69
23:17:06,70
23:17:21,70
23:17:26,66
23:17:31,65
23:17:41,68
23:17:46,70
23:17:51,71
23:18:01,77
23:18:11,74
23:18:16,73
23:18:26,72
23:18:31,71
23:18:36,67
23:18:41,66
23:18:51,68
23:18:56,66
23:19:01,64
23:19:06,62
23:19:11,63
23:19:26,63
23:19:31,65
23:19:41,64
23:19:56,64
23:20:11,64
23:20:16,63
23:20:21,64
23:20:26,65
23:20:32,65
23:20:42,66
23:20:47,66
23:21:02,67
23:21:17,67
23:21:27,66
23:21:32,62
23:21:42,60
23:21:47,61
23:21:57,62
23:22:07,63
23:22:12,64
23:22:27,64
23:22:42,64
23:22:47,65
23:22:52,66
23:22:57,67
23:23:07,66
23:23:12,65
23:23:22,63
23:23:27,64
23:23:32,65
23:23:47,65
23:23:52,64
23:23:57,64
23:24:02,65
23:24:07,66
23:24:12,66
23:24:17,68
23:24:22,68
23:24:27,69
23:24:32,70
23:24:42,70
23:24:47,70
23:24:57,69
23:25:02,66
23:25:12,67
23:25:27,68
23:25:32,69
23:25:37,70
23:25:47,71
23:25:52,73
23:25:57,73
23:26:02,72
23:26:07,68
23:26:12,67
23:26:22,68
23:26:37,69
23:26:42,67
23:26:52,68
23:26:57,67
23:27:02,66
23:27:12,69
23:27:27,68
23:27:32,70
23:27:37,70
23:27:52,71
23:27:57,72
23:28:02,70
23:28:07,69
23:28:12,68
23:28:17,68
23:28:22,69
23:28:37,69
23:28:42,70
23:28:57,70
23:29:12,69
23:29:17,69
23:29:32,67
23:29:37,67
23:29:42,66
23:29:47,65
23:30:02,66
23:30:12,67
23:30:27,68
23:30:32,69
23:30:42,68
23:30:47,69
23:31:02,69
23:31:17,70
23:31:22,67
23:31:27,64
23:31:32,65
23:31:47,65
23:31:57,66
23:32:07,64
23:32:17,63
23:32:32,63
23:32:47,65
23:32:52,66
23:33:02,67
23:33:07,69
23:33:17,73
23:33:22,78
23:33:27,79
23:33:37,82
23:33:52,83
23:33:57,86
23:34:02,87
23:34:07,86
23:34:12,85
23:34:17,84
23:34:32,84
23:34:37,84
23:34:42,83
23:34:47,82
23:34:52,81
23:34:57,80
23:35:02,80
23:35:07,81
23:35:12,80
23:35:17,79
23:35:32,80
23:35:42,79
23:35:47,79
23:35:57,80
23:36:02,81
23:36:17,81
23:36:32,81
23:36:37,81
23:36:52,81
23:36:57,82
23:37:02,83
23:37:07,83
23:37:22,83
23:37:27,84
23:37:32,85
23:37:37,84
23:37:52,84
23:37:57,85
23:38:02,84
23:38:07,82
23:38:12,81
23:38:17,80
23:38:32,80
23:38:33,80
23:38:43,79
23:38:48,79
23:38:53,78
23:38:58,78
23:39:13,78
23:39:28,78
23:39:33,79
23:39:38,82
23:39:43,83
23:39:53,88
23:39:58,89
23:40:03,89
23:40:08,88
23:40:18,90
23:40:33,90
23:40:38,97
23:40:43,102
23:40:48,99
23:40:53,89
23:41:03,91
23:41:08,91
23:41:23,92
23:41:28,93
23:41:33,92
23:41:37,91
23:41:52,91
23:41:57,90
23:42:02,89
23:42:12,87
23:42:17,84
23:42:22,83
23:42:27,85
23:42:32,86
23:42:37,85
23:42:42,84
23:42:47,82
23:42:52,70
23:43:02,68
23:43:07,62
23:43:22,62
23:43:27,63
23:43:32,62
23:43:37,61
23:43:42,59
23:43:47,59
23:43:57,61
23:44:07,63
23:44:17,63
23:44:32,63
23:44:42,64
23:44:48,64
23:44:53,67
23:44:58,70
23:45:03,71
23:45:18,71
23:45:33,71
23:45:43,72
23:45:48,73
23:45:53,71
23:46:03,70
23:46:13,64
23:46:18,62
23:46:23,61
23:46:28,60
23:46:43,60
23:46:48,61
23:46:58,62
23:47:03,63
23:47:08,66
23:47:13,68
23:47:18,69
23:47:28,70
23:47:43,70
23:47:48,71
23:47:53,70
23:47:58,70
23:48:03,70
23:48:08,69
23:48:13,68
23:48:18,69
23:48:23,69
23:48:28,70
23:48:33,71
23:48:43,71
23:48:53,72
23:48:58,72
23:49:03,71
23:49:08,71
23:49:23,73
23:49:28,72
23:49:38,73
23:49:43,74
23:49:48,73
23:49:53,74
23:49:58,75
23:50:13,75
23:50:23,74
23:50:28,72
23:50:33,70
23:50:38,68
23:50:43,65
23:50:48,63
23:50:58,64
23:51:13,65
23:51:18,64
23:51:23,62
23:51:28,61
23:51:33,62
23:51:38,63
23:51:43,64
23:51:48,65
23:52:03,65
23:52:08,64
23:52:18,65
23:52:33,65
23:52:43,67
23:52:48,68
23:53:03,68
23:53:13,68
23:53:18,69
23:53:23,69
23:53:28,68
23:53:33,69
23:53:38,70
23:53:43,69
23:53:58,69
23:54:03,70
23:54:13,71
23:54:28,71
23:54:33,73
23:54:39,73
23:54:54,73
23:54:59,72
23:55:09,71
23:55:24,71
23:55:29,70
23:55:44,69
23:55:54,70
23:56:04,71
23:56:19,71
23:56:29,69
23:56:44,69
23:56:49,70
23:56:59,69
23:57:14,68
23:57:29,68
23:57:34,67
23:57:49,67
23:58:04,68
23:58:19,68
23:58:29,68
23:58:44,68
23:58:54,69
23:58:59,68
